School Year,School Level,School ID,School Name,State School ID,ZIP,"Pre-K, 3 Years","Pre-K, 4 Years",Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian,Black or African American,Hispanic / Latino,Native Hawaiian or Other Pacific Islander,White,Male,Female,Economically Disadvantaged,Disability,Limited English Proficiency,Latitude,Longitude,Mapped Location
19-20,Non-Traditional,142,Nashville Big Picture High School,53,37209,,,,,,,,,,,,50,30,47,24,,1,105,14,,31,63,88,42,23,3,36.1430883067,-86.8557148572,"(36.1430883067, -86.8557148572)"
19-20,Charter,592,Nashville Classical,8044,37206,,,72,63,66,66,63,60,52,,,,,,,1,3,289,35,,114,228,214,143,58,16,36.1799726463,-86.7460731124,"(36.1799726463, -86.7460731124)"
19-20,Charter,594,Nashville Prep,8008,37209,,,,,,,,65,72,81,67,,,,,1,7,149,112,1,15,148,137,146,46,90,36.1623058663,-86.8553317868,"(36.1623058663, -86.8553317868)"
19-20,High School,242,Nashville School Of The Arts,512,37210,,,,,,,,,,,,172,141,133,136,,16,238,40,,288,175,407,77,52,8,36.1329133192,-86.7405001865,"(36.1329133192, -86.7405001865)"
19-20,Charter,601,Neelys Bend College Prep,6000,37115,,,,,,,,113,146,117,129,,,,,,3,203,230,,69,278,227,243,4,188,36.2419079199,-86.674230711,"(36.2419079199, -86.674230711)"
19-20,Elementary School,595,Neelys Bend Elementary,515,37115,,20,57,53,64,50,57,,,,,,,,,,,104,147,,50,155,146,152,32,100,36.2399690605,-86.6735175002,"(36.2399690605, -86.6735175002)"
19-20,Elementary School,145,Norman Binkley Elementary,525,37211,3,31,108,137,101,108,116,,,,,,,,,,42,70,311,2,179,293,311,238,63,320,36.076976208,-86.7484948034,"(36.076976208, -86.7484948034)"
19-20,Elementary School,610,Old Center Elementary,535,37072,,36,58,62,64,69,70,,,,,,,,,,3,170,129,,57,176,183,160,49,85,36.2912097239,-86.7379489567,"(36.2912097239, -86.7379489567)"
19-20,Elementary School,618,Paragon Mills Elementary,540,37211,10,67,100,110,118,110,96,,,,,,,,,,65,158,309,,79,310,301,289,59,309,36.087419407,-86.7070560977,"(36.087419407, -86.7070560977)"
19-20,Elementary School,620,Park Avenue Elementary,545,37209,8,23,69,56,58,57,56,,,,,,,,,1,,297,16,,13,158,169,220,48,14,36.1510157044,-86.8296779019,"(36.1510157044, -86.8296779019)"
19-20,High School,632,Pearl-Cohn High,555,37208,,,,,,,,,,,,181,169,143,159,,1,606,30,,15,322,330,435,139,26,36.1645403992,-86.815136164,"(36.1645403992, -86.815136164)"
19-20,Elementary School,640,Pennington Elementary,565,37214,1,17,54,49,50,59,60,,,,,,,,,4,5,49,63,,169,162,128,68,28,37,36.2033663873,-86.6814273247,"(36.2033663873, -86.6814273247)"
19-20,Elementary School,650,Percy Priest Elementary,570,37215,,,109,88,102,101,96,,,,,,,,,3,27,18,21,2,425,257,239,7,29,6,36.0615871471,-86.8336952185,"(36.0615871471, -86.8336952185)"
19-20,Charter,652,Purpose Prep,8046,37228,,,76,94,66,64,57,,,,,,,,,2,,319,9,,27,171,186,129,18,17,36.1942880381,-86.7946999618,"(36.1942880381, -86.7946999618)"
19-20,Charter,660,RePublic High School,8100,37207,,,,,,,,,,,,232,197,109,105,1,4,356,225,,57,319,324,224,84,99,36.2420998862,-86.7793092615,"(36.2420998862, -86.7793092615)"
19-20,Elementary School,784,Robert Churchwell Elementary,618,37208,,16,59,46,61,55,61,,,,,,,,,1,,287,8,,2,150,148,239,43,10,36.1753538423,-86.8094236992,"(36.1753538423, -86.8094236992)"
19-20,Elementary School,500,Robert E. Lillard Elementary,420,37218,,,45,48,42,44,52,,,,,,,,,,,221,6,,4,117,114,154,35,5,36.2205723388,-86.8269077667,"(36.2205723388, -86.8269077667)"
19-20,Charter,667,Rocketship Nashville Northeast Elementary,8050,37207,,,126,107,82,99,89,,,,,,,,,4,,368,117,,14,248,255,340,68,78,36.2136492726,-86.7654223968,"(36.2136492726, -86.7654223968)"
19-20,Charter,668,Rocketship United,8070,37217,,,102,115,109,110,116,,,,,,,,,1,3,229,260,,59,252,300,242,53,256,36.1304768556,-86.7248661795,"(36.1304768556, -86.7248661795)"
19-20,Middle School,675,Rose Park Middle,595,37203,,,,,,,,116,116,108,102,,,,,,16,284,37,,105,226,216,89,32,48,36.1424058913,-86.7813145165,"(36.1424058913, -86.7813145165)"
19-20,Elementary School,670,Rosebank Elementary,600,37206,1,39,80,67,53,46,35,,,,,,,,,,7,195,25,,94,164,157,127,39,10,36.1839805189,-86.7177769703,"(36.1839805189, -86.7177769703)"
19-20,Elementary School,681,Ross Early Learning Center,7015,37206,24,198,,,,,,,,,,,,,,,2,107,18,,95,111,111,62,49,,36.1798601253,-86.7545481099,"(36.1798601253, -86.7545481099)"
19-20,Elementary School,522,Ruby Major Elementary,607,37076,,33,81,94,84,105,88,,,,,,,,,3,16,222,74,1,169,263,222,158,63,58,36.1561669093,-86.5786577126,"(36.1561669093, -86.5786577126)"
19-20,Elementary School,685,Shwab Elementary,610,37207,6,43,55,52,59,65,59,,,,,,,,,,1,97,201,,40,186,153,155,54,149,36.1999066318,-86.7707922912,"(36.1999066318, -86.7707922912)"
19-20,Elementary School,686,Smith Springs Elementary School,750,37013,32,64,110,115,100,100,109,,,,,,,,,,16,247,184,,183,333,297,213,110,124,36.0823638291,-86.5954847785,"(36.0823638291, -86.5954847785)"
19-20,Charter,687,Smithson Craighead Academy,8001,37115,,,52,40,34,38,43,,,,,,,,,,,95,97,1,14,100,107,101,27,54,36.2510250701,-86.6966199613,"(36.2510250701, -86.6966199613)"
19-20,Elementary School,690,Stanford Elementary,615,37214,54,56,62,65,58,56,53,,,,,,,,,6,25,107,41,1,224,212,192,66,39,23,36.1760762784,-86.6823175115,"(36.1760762784, -86.6823175115)"
19-20,Charter,695,STEM Prep Academy,8006,37210,,,,,,,,138,127,133,122,,,,,1,10,70,268,,171,275,245,203,44,359,36.1351446302,-86.7386061567,"(36.1351446302, -86.7386061567)"
19-20,Charter,696,STEM Prep High School,8075,37210,,,,,,,,,,,,147,128,110,91,1,12,77,271,,115,258,218,154,36,196,36.1354168461,-86.7386223689,"(36.1354168461, -86.7386223689)"
19-20,High School,705,Stratford STEM Magnet School,620,37216,,,,,,,,70,85,80,81,160,178,169,147,2,25,671,108,,164,553,417,563,173,131,36.1975898577,-86.7180671344,"(36.1975898577, -86.7180671344)"
19-20,Elementary School,710,Stratton Elementary,625,37115,,17,91,96,90,107,98,,,,,,,,,1,6,180,229,,83,234,265,248,58,193,36.2656026682,-86.7176823287,"(36.2656026682, -86.7176823287)"
19-20,Charter,712,Strive Collegiate Academy,8090,37214,,,,,,,,109,105,93,77,,,,,,11,166,103,1,103,199,185,118,47,89,36.1788359554,-86.6432213808,"(36.1788359554, -86.6432213808)"
19-20,Elementary School,715,Sylvan Park Elementary,630,37209,,,89,92,79,89,77,,,,,,,,,,11,134,19,3,259,228,198,62,60,9,36.1442237082,-86.8445950436,"(36.1442237082, -86.8445950436)"
19-20,Non-Traditional,422,The Academy at Hickory Hollow,720,37013,,,,,,,,,,,,,,,78,,5,20,38,,15,40,38,22,4,20,36.0503997998,-86.6548197259,"(36.0503997998, -86.6548197259)"
19-20,Non-Traditional,211,The Academy at Old Cockrill,614,37209,,,,,,,,,,,,,,,69,,,50,7,,12,30,39,35,9,5,36.1547218751,-86.8455535663,"(36.1547218751, -86.8455535663)"
19-20,Non-Traditional,613,The Academy at Opry Mills,612,37214,,,,,,,,,,,,,,,51,,2,18,14,,17,26,25,17,3,7,36.2027005721,-86.6920792353,"(36.2027005721, -86.6920792353)"
19-20,Non-Traditional - Hybrid,718,The Cohn Learning Center,745,37209,,,,,,,,,,,,,10,51,,,,49,6,,6,28,33,41,14,,36.1507089234,-86.8451990752,"(36.1507089234, -86.8451990752)"
19-20,Elementary School,575,Thomas A. Edison Elementary,208,37013,1,31,153,138,163,160,155,,,,,,,,,1,18,282,235,1,264,423,378,292,70,335,36.0628845281,-86.6046383659,"(36.0628845281, -86.6046383659)"
19-20,Middle School,551,Thurgood Marshall Middle,633,37013,,,,,,,,222,247,246,244,,,,,2,63,389,336,,169,494,465,330,128,372,36.0223005992,-86.6612707661,"(36.0223005992, -86.6612707661)"
19-20,Elementary School,495,Tom Joy Elementary,635,37207,,39,75,58,59,65,68,,,,,,,,,,3,198,108,1,54,185,179,233,42,83,36.2086474873,-86.7566230238,"(36.2086474873, -86.7566230238)"
